description,category
Garbage behind the temple,Waste/Garbage
Air pollution,Air
Air pollution in hebbal,Air
Garbage is dumped near BES,Waste/Garbage
Leaf and garbage burning on Shakthi Ganapathi temple premises. No action taken despite complaints.,Air
There is a lot of garbage dump in and around this area where lots of small petty shops and food carts are located. Disposable paper cups are thrown here and they find their way into storm water drains,Waste/Garbage
Replace broken streetlight. Complaint #5 about the same,Streetlights
Red Matiz parked on the footpath for more than 6 months. No action by police despite repeated requests.,Traffic/Parking
Cars have been using the footpath as a parking space everyday for over a year. No place for pedestrians. Damaging the footpath. No action taken by police.,Traffic/Parking
Congestion everyday and at all times due to improper roads and construction ,Traffic/Parking
Congestiom everyday and all the time due to improper roads and construction,Traffic/Parking
Congestion due to construction and small mud roads,Traffic/Parking
Garbage dumped,Waste/Garbage
Traffic jam at all times due to construction and small mud roads ,Traffic/Parking
No parking sign has been placed but vehicles are parked,Traffic/Parking
Due to construction and small mud road,Traffic/Parking
Flies and rodents can be seen,Waste/Garbage
Garbage dumped,Waste/Garbage
"Ads are stuck theyre not coming out even if we try
We called them and asked them to remove it but they still havent",Streetlights
Cables are hanging with open loose ends,Streetlights
Bus parked wrongly blocking vehicles and creating traffic,Traffic/Parking
Waste dumped at the side of the road,Waste/Garbage
Garbade dumped infront of house and not cleared for days,Waste/Garbage
Segregation is not happening in the street ,Waste/Garbage
Garbage is not disposed properly,Waste/Garbage
Segregation has to be encouraged. ,Waste/Garbage
Cars always parked infront of no parking sign,Traffic/Parking
Open sewage,Sewage
Garbage including old cars dumped,Waste/Garbage
Traffic traffic,Traffic/Parking
Garbage dump. Near electric pole,Waste/Garbage
"Open drain, stinks",Sewage
There is an unused old car also apart from garbage,Waste/Garbage
Garbage piled and not cleared,Waste/Garbage
"""River"" that has become garbage dump",Sewage
"""River"" has become garbage dump",Sewage
Garbage in empty lot,Waste/Garbage
Old car etc dumped,Waste/Garbage
Filled with garbage,Sewage
Garbage was set on fire also,Waste/Garbage
Vehicles parking infront of sign,Traffic/Parking
Broken bricks and garbage,Waste/Garbage
Sign board fallen and rusted,Waste/Garbage
Garbage and a make shift abandoned house also constructed in land,Waste/Garbage
Vehicles parked always here,Traffic/Parking
Waste overflowing from empty site,Waste/Garbage
Vehicles parked in no parking zone always,Traffic/Parking
Garbage dumped the whole stretch,Waste/Garbage
Garbage dumped at the corner of the road,Waste/Garbage
Roadside trash not cleared,Waste/Garbage
Site filled with garbage,Waste/Garbage
Open wire,Streetlights
Cables hanging,Streetlights
Trash on street,Waste/Garbage
Empty site has garbage,Waste/Garbage
Vehicles parked 24/7,Traffic/Parking
Garbage dump on street side,Waste/Garbage
Garbage thrown near ssmrv college,Waste/Garbage
Garbage dump near Jana bank,Waste/Garbage
Garbage is being dumped near the sbi branch Indra nagar,Waste/Garbage
Garbage is been dumped,Waste/Garbage
High pollution in the araa,Air
Open manhole dangerous at nights,Potholes
Street is dark,Electricity
Garbage strewn on street,Waste/Garbage
Garbage in empty site,Waste/Garbage
Sign has fallen,Potholes
Wrong parking always,Traffic/Parking
Wrong parking always,Traffic/Parking
Wrong parking always,Traffic/Parking
Parking on footpath always,Traffic/Parking
Infront of parking sign,Traffic/Parking
Parking on footpath,Traffic/Parking
Infront of no parking.. when there is paid parking right next to that,Traffic/Parking
Poster on tree,Streetlights
Parking on footpath,Traffic/Parking
Scooters parked on footpath,Traffic/Parking
No parking sign,Traffic/Parking
Infront of no parking sign,Traffic/Parking
Garbage collection hasn’t been removed,Waste/Garbage
Parking on footpath,Traffic/Parking
Dirty unclean gutters with rats on it,Sewage
Dangerous pothole at turning,Potholes
Pothole,Potholes
Cars parked on footpath,Traffic/Parking
Cars impounded at police station are parked on street,Traffic/Parking
Parking scooters on footpath always,Traffic/Parking
Has not been cleared or removed,Waste/Garbage
Debris,Waste/Garbage
Debris,Waste/Garbage
Long pothole along the road,Potholes
Many potholes along this stretch of road,Potholes
Buses parked infront of no parking sign.. three or four signs along this stretch of road,Traffic/Parking
Garbage dumped at side of road,Waste/Garbage
Burning garbage near bsnl office,Waste/Garbage
Garbage dumped on both sides of the road,Waste/Garbage
Garbage dumped in vacant site,Waste/Garbage
Uneven pothole across the road.. scooters skid a lot,Potholes
Garbage truck filled with garbage parked with no driver ,Waste/Garbage
Garbage dumped on street,Waste/Garbage
Garbage dumped on pavement,Waste/Garbage
Manhole open on footpath,Potholes
Garbage dumped in an empty site and burnt,Waste/Garbage
Street light is not working,Streetlights
Garbage dumped opposite to HSBC bank blocking footpath,Waste/Garbage
Grabage dumped out side shantipark on footpath ,Waste/Garbage
Garbage dump,Waste/Garbage
Waste dumping in the middle of the residential area,Waste/Garbage
There are 2-3 spots near RV college which are on the verge of becoming a dump yard. It should be look immediately and proper bio and recycle bins should be kept here.,Waste/Garbage
There is a ban on single use of plastic from 1 year now but still every shop keeper is using it specially the vegetable vendors. The only solution is we seize the factory which are producing this,Waste/Garbage
Garbage dumps all over either side of the road. Not cleaned or taken care of.,Waste/Garbage
Garbage dumps on either side of the road. Not cleaned,Waste/Garbage
Garbage dumped again in front of the temple,Waste/Garbage
Coconut branch on side of road,Waste/Garbage
There are many spots across Jayanagar where leaflets are lying for days. It is now slowly getting converted into dumpyard,Waste/Garbage
People throw waste here next to bus stop,Waste/Garbage
Open drainage. ,Sewage
Open drainage,Sewage
"Frequent garbage burning outside my home, when no one is home. Causes heavy air pollution and difficulty breathing for everyone in an already traffic heavy road.",Air
Garbage thrown on the side of the road,Waste/Garbage
Garbage dumped on side of road,Waste/Garbage
"Dead fish,  very smelly",Waste/Garbage
Dangling of wire on footpath,Streetlights
Just came across this heap of junk on my way. Nobody seems to care and people around are fine and living with it ,Waste/Garbage
Garbage bin overfilled,Waste/Garbage
Garbage dumped on side of road.  Burning happening on other side.,Waste/Garbage
Blackspot inside the park where Gandhi statue is there.,Waste/Garbage
Overflowing dustbin and garbage dump,Waste/Garbage
Blackspot not cleaned. Construction waste,Waste/Garbage
Large garbage mounds being burnt here causing a lot for air pollution.,Air
People throwing Garbage,Waste/Garbage
"In the recently constructed tendersure footpath, spending crores of rupees, the footpath is encroached by watermelon and fruit vendor. Not even an inch of space exists.

Please help clear.",Traffic/Parking
Recently constructed tendersure footpath is used by shops as parking lot in the stretch between modi hospital and Shankar mutt bus stop.,Traffic/Parking
"Recently constructed tendersure footpath is used by shops as parking lot in the stretch between modi hospital and Shankar mutt bus stop. Have complained several times to BTP on Facebook, but no use.",Traffic/Parking
Leaking sewage down the road. Drain is blocked.,Sewage
"This junction is heavily congested every evening between 6-8:30pm. No lane rules are followed, people drive in opposite lane and there is merging traffic.",Traffic/Parking
Road has around 6-7 pothole together.,Potholes
Garbage is dumped on this empty land. This is often burned causing lot of pollution . I opened a BBMP sahaya complaint 10828803 complaint closed as resolved without any action,Waste/Garbage
Waste inside the tree planter,Waste/Garbage
Garbage dumping on footpath,Waste/Garbage
Sewage leaking down the road. Very bad smell.,Sewage
Text text,Electricity
Garbage dump on empty vacant plot and serves as ground for open defecation and urination,Waste/Garbage
Wires dangling near to the tree,Streetlights
Garbage dump on side of road.  People also throwing home garbage here,Waste/Garbage
Garbage dump on side of road by residents,Waste/Garbage
Dumped outside BBMP park entrance,Waste/Garbage
Garbage dump in empty plot near micro arekere layout,Waste/Garbage
Garbage dumping. Health hazard to residents,Waste/Garbage
Garbage dump adjacent to Kplay schools,Waste/Garbage
Street light not working since 3 months. BBMP sahaya complaint no 10823530 was raised on jan 16 closed and updated resolved without actually resolving the issues.,Streetlights
"1. Garbage dump not picked by BBMP workers.
2. The truck is also empty and near to dump area.
3. It causes air pollution as waste is mixed.",Waste/Garbage
Garbage dump near metro construction in main roads,Waste/Garbage
Burning of garbage dump,Air
Garbage burning causing lot of air pollution on an already traffic heavy road.,Air
Garbage,Waste/Garbage
"Parking in places where people sit, in front of building, cleaning vehicle and letting sewage water, foul smell",Traffic/Parking
"Here, a trash bin is present, around which waste, which mainly  consists of plastic, is strewn all around. Cows feed on this plastic which could lead to problems. This also causes distress to people.",Waste/Garbage
Garbage,Waste/Garbage
Tree fell down,Air
Tree has fallen. Blocked the entire 20th main,Traffic/Parking
Tree clearance from the road. Blocking the road.,Waste/Garbage
Garbage burning causing excessive pollution on an already traffic heavy road.,Air
"Here, a trash bin used to be there earlier, after which it had been removed. People, who don't have any other go as the bin had been removed, have started dumping garbage on the ground.",Waste/Garbage
Dump near Play school,Waste/Garbage
"Dangerous manhole,  risk to life",Potholes
Garbage dump under the railway bridge.,Waste/Garbage
"Very poor and no cleaning 
",Air
In this area have two dustbin.in two also have a big hole.please solve this problem ,Waste/Garbage
There’s an empty site with lot of garbage,Waste/Garbage
