,index,description,category,civic_issue
0,1,Garbage behind the temple,Waste/Garbage,1
1,2,Air pollution,Air,1
2,3,Air pollution in hebbal,Air,1
3,4,Garbage is dumped near BES,Waste/Garbage,1
4,5,Leaf and garbage burning on Shakthi Ganapathi temple premises. No action taken despite complaints.,Air,1
5,6,There is a lot of garbage dump in and around this area where lots of small petty shops and food carts are located. Disposable paper cups are thrown here and they find their way into storm water drains,Waste/Garbage,1
6,7,Replace broken streetlight. Complaint #5 about the same,Streetlights,1
7,8,Red Matiz parked on the footpath for more than 6 months. No action by police despite repeated requests.,Traffic/Parking,1
8,9,Cars have been using the footpath as a parking space everyday for over a year. No place for pedestrians. Damaging the footpath. No action taken by police.,Traffic/Parking,1
9,10,Congestion everyday and at all times due to improper roads and construction ,Traffic/Parking,1
10,11,Congestiom everyday and all the time due to improper roads and construction,Traffic/Parking,1
11,12,Congestion due to construction and small mud roads,Traffic/Parking,1
12,13,Garbage dumped,Waste/Garbage,1
13,14,Traffic jam at all times due to construction and small mud roads ,Traffic/Parking,1
14,15,No parking sign has been placed but vehicles are parked,Traffic/Parking,1
15,16,Due to construction and small mud road,Traffic/Parking,1
16,17,Flies and rodents can be seen,Waste/Garbage,1
17,18,Garbage dumped,Waste/Garbage,1
18,19,"Ads are stuck theyre not coming out even if we try
We called them and asked them to remove it but they still havent",Streetlights,1
19,20,Cables are hanging with open loose ends,Streetlights,1
20,21,Bus parked wrongly blocking vehicles and creating traffic,Traffic/Parking,1
21,22,Waste dumped at the side of the road,Waste/Garbage,1
22,23,Garbade dumped infront of house and not cleared for days,Waste/Garbage,1
23,24,Segregation is not happening in the street ,Waste/Garbage,1
24,25,Garbage is not disposed properly,Waste/Garbage,1
25,26,Segregation has to be encouraged. ,Waste/Garbage,1
26,27,Cars always parked infront of no parking sign,Traffic/Parking,1
27,28,Open sewage,Sewage,1
28,29,Garbage including old cars dumped,Waste/Garbage,1
29,30,Traffic traffic,Traffic/Parking,1
30,31,Garbage dump. Near electric pole,Waste/Garbage,1
31,32,"Open drain, stinks",Sewage,1
32,33,There is an unused old car also apart from garbage,Waste/Garbage,1
33,34,Garbage piled and not cleared,Waste/Garbage,1
34,35,"""River"" that has become garbage dump",Sewage,1
35,36,"""River"" has become garbage dump",Sewage,1
36,37,Garbage in empty lot,Waste/Garbage,1
37,38,Old car etc dumped,Waste/Garbage,1
38,39,Filled with garbage,Sewage,1
39,40,Garbage was set on fire also,Waste/Garbage,1
40,41,Vehicles parking infront of sign,Traffic/Parking,1
41,42,Broken bricks and garbage,Waste/Garbage,1
42,43,Sign board fallen and rusted,Waste/Garbage,1
43,44,Garbage and a make shift abandoned house also constructed in land,Waste/Garbage,1
44,45,Vehicles parked always here,Traffic/Parking,1
45,46,Waste overflowing from empty site,Waste/Garbage,1
46,47,Vehicles parked in no parking zone always,Traffic/Parking,1
47,48,Garbage dumped the whole stretch,Waste/Garbage,1
48,49,Garbage dumped at the corner of the road,Waste/Garbage,1
49,50,Roadside trash not cleared,Waste/Garbage,1
50,51,Site filled with garbage,Waste/Garbage,1
51,52,Open wire,Streetlights,1
52,53,Cables hanging,Streetlights,1
53,54,Trash on street,Waste/Garbage,1
54,55,Empty site has garbage,Waste/Garbage,1
55,56,Vehicles parked 24/7,Traffic/Parking,1
56,57,Garbage dump on street side,Waste/Garbage,1
57,58,Garbage thrown near ssmrv college,Waste/Garbage,1
58,59,Garbage dump near Jana bank,Waste/Garbage,1
59,60,Garbage is being dumped near the sbi branch Indra nagar,Waste/Garbage,1
60,61,Garbage is been dumped,Waste/Garbage,1
61,62,High pollution in the araa,Air,1
62,63,Open manhole dangerous at nights,Potholes,1
63,64,Street is dark,Electricity,1
64,65,Garbage strewn on street,Waste/Garbage,1
65,66,Garbage in empty site,Waste/Garbage,1
66,67,Sign has fallen,Potholes,1
67,68,Wrong parking always,Traffic/Parking,1
68,69,Wrong parking always,Traffic/Parking,1
69,70,Wrong parking always,Traffic/Parking,1
70,71,Parking on footpath always,Traffic/Parking,1
71,72,Infront of parking sign,Traffic/Parking,1
72,73,Parking on footpath,Traffic/Parking,1
73,74,Infront of no parking.. when there is paid parking right next to that,Traffic/Parking,1
74,75,Poster on tree,Streetlights,1
75,76,Parking on footpath,Traffic/Parking,1
76,77,Scooters parked on footpath,Traffic/Parking,1
77,78,No parking sign,Traffic/Parking,1
78,79,Infront of no parking sign,Traffic/Parking,1
79,80,Garbage collection hasn’t been removed,Waste/Garbage,1
80,81,Parking on footpath,Traffic/Parking,1
81,82,Dirty unclean gutters with rats on it,Sewage,1
82,83,Dangerous pothole at turning,Potholes,1
83,84,Pothole,Potholes,1
84,85,Cars parked on footpath,Traffic/Parking,1
85,86,Cars impounded at police station are parked on street,Traffic/Parking,1
86,87,Parking scooters on footpath always,Traffic/Parking,1
87,88,Has not been cleared or removed,Waste/Garbage,1
88,89,Debris,Waste/Garbage,1
89,90,Debris,Waste/Garbage,1
90,91,Long pothole along the road,Potholes,1
91,92,Many potholes along this stretch of road,Potholes,1
92,93,Buses parked infront of no parking sign.. three or four signs along this stretch of road,Traffic/Parking,1
93,94,Garbage dumped at side of road,Waste/Garbage,1
94,95,Burning garbage near bsnl office,Waste/Garbage,1
95,96,Garbage dumped on both sides of the road,Waste/Garbage,1
96,97,Garbage dumped in vacant site,Waste/Garbage,1
97,98,Uneven pothole across the road.. scooters skid a lot,Potholes,1
98,99,Garbage truck filled with garbage parked with no driver ,Waste/Garbage,1
99,100,Garbage dumped on street,Waste/Garbage,1
100,101,Garbage dumped on pavement,Waste/Garbage,1
101,102,Manhole open on footpath,Potholes,1
102,103,Garbage dumped in an empty site and burnt,Waste/Garbage,1
103,104,Street light is not working,Streetlights,1
